,0,1,2
COR_Discosoma,-2.969894990459103,8.792271735249242,1.0371868342450754
COR_Ricordea_florida,-3.314676565525281,10.281361871920415,-0.3919442504343351
MIC_Letepsammia,-2.103643060378208,7.883508255795239,0.8236822458255191
MIC_Rhombopsammia,-1.0454444702579844,8.241871353901608,0.24856760030409955
MIC_Stephanophyllia,-0.9424039696143736,8.121730201590802,0.3285586683773441
GAR_Gardineria_hawaiiensis,-3.3785889173237003,8.819252593902414,-1.818154204048722
GAR_Gardineria_paradoxa,-3.878785058915579,8.6740883346493,-1.656829587883214
ANT_Anthemiphyllia_patera,1.2930350071977423,2.2186407467937324,-4.527902498053438
CAR_Deltocyathus_ornatus,1.483117192350495,4.391953585299908,-1.5376917312869216
CAR_Deltocyathus_suluensis,1.303188935604736,3.9542840180562226,-2.0773629742037247
CAR_Deltocyathus_sarsi,0.97866167608345,3.965076513908263,-2.908624798180028
CAR_Deltocyathus_inusitatus,1.2069072754653631,4.584549802906459,-2.938264207183312
CAR_Deltocyathus_rotulus,2.2107818796048386,4.13218109159078,-2.3578194923172746
ANT_Anthemiphyllia_spinifera,4.297827402857828,3.980940941923385,-6.3172951311534
ANT_Anthemiphyllia_dentata,9.47212893898753,1.9538680722091921,-2.8560278213264523
CAR_Ceratotrochus,9.074267619783152,3.2150956943889195,-2.8477429816633943
CAR_Conotrochus,9.410045026876553,2.366851385036615,-2.3988665866851147
CAR_Vaughanella,9.58625219572796,2.1735130367935787,-5.881743969631231
CAR_Stephanocyathus_weberianus,9.571133753057763,2.437240628077611,-5.344448658366892
CAR_Stephanocyathus_platypus,10.271184917488972,2.112376525252915,-4.939086791173399
CAR_Stephanocyathus_coronatus,9.496151235700568,1.717906882464405,-5.051386388059378
CAR_Stephanocyathus_spiniger,9.555017868857218,2.1360904649714043,-4.788629761825497
CAR_Caryophyllia_versicolorata,14.282254539208656,1.462340192409975,-4.410516459939803
CAR_Crispatotrochus,14.518425222159081,1.514594128551866,-2.8862427618010806
CAR_Caryophyllia_inornata,14.629322339076271,0.990484210501729,-3.6782485510783847
CAR_Caryophyllia_rugosa,15.432382143672795,1.2537357206575146,-6.465265919251125
CAR_Caryophyllia_lamellifera,14.922000602122099,0.48302819906117167,-4.8195228154109
CAR_Caryophyllia_grayi,14.728496186690247,0.5644508122323192,-4.492091185092268
STE_Stenocyathus_vermiformis,14.869626369626143,1.4216024281580846,-4.773230735119548
CAR_Caryophyllia_planilamellata,15.299798125871975,2.3840970991197126,-7.339172821424163
CAR_Caryophyllia_quadragenaria,14.50683430850718,2.69467565312808,-7.652398189744784
CAR_Caryophyllia_ambrosia,15.277165725500664,1.926023621388655,-7.193968926427452
CAR_Caryophyllia_atlantica,15.090743200224313,1.8424517186099556,-7.6937529766089705
CAR_Dasmosmilia_lymani,15.12904674717983,2.1737792107760003,-6.307785757711346
CAR_Caryophyllia_scobinosa,15.671726035597235,3.0309850414194504,-6.44868871793139
CAR_Caryophyllia_unicristata,14.970483224942207,2.5731416507882976,-6.47358387010309
CAR_Caryophyllia_grandis,15.900173043508795,2.5436902713247735,-5.891580022870866
CAR_Caryophyllia_transversalis,15.460559455659443,2.811880552288725,-7.096910897590863
CAR_Lophelia_pertusa,15.03485039773829,0.9866458144922935,-2.9795568929655496
CAR_Solenosmilia_variabilis,14.63435712293967,1.4244461059544695,-3.2253774068210443
CAR_Caryophyllia_diomedeae,14.603809365007951,1.529185006917185,-3.7863612858890314
CAR_Desmophyllum,13.974869285077649,1.1998020620130851,-3.6992700048900407
CAR_Caryophyllia_ralphae,12.53305745054611,0.28954774483406126,-5.196444869246562
CAR_Rhizosmilia_robusta,12.43725696718907,-0.0012584122569532267,-4.101736219487293
OCU_Madrepora,11.829123006052374,1.4862845923243493,-2.873124140402964
AST_Stylocoeniella,14.902555305952454,0.64186835138056,-4.691058501743558
AST_Madracis_senaria,14.393122215633474,-0.026884540049657943,-3.987528537633257
AST_Madracis_formosa,14.640536651528448,-0.032355646696883726,-4.621279415976977
AST_Madracis_carmabi,14.045958152891407,-0.007022673910878917,-5.107568938337622
AST_Madracis_auretenra,14.465604533668627,-0.1429631034860529,-3.7163061007328024
AST_Madracis_asanoi,14.907213996757587,0.48542009904445493,-5.321917582861162
AST_Madracis_pharensis,15.037403712278667,0.525669885188965,-4.097758558102998
AST_Madracis_decactis,14.895899895391821,-0.07065998787123612,-4.135681708825081
POC_Stylophora,15.141286608382952,0.7998612633534402,-4.109310426447793
POC_Seriatopora_caliendrum,14.837984856066385,0.7433908970882107,-4.629988649448031
POC_Seriatopora_hystrix,15.107265043964471,1.405953848521596,-3.8024580576298663
POC_Pocillopora_meandrina,14.369869454773253,1.0557127478553217,-4.861225499361595
POC_Pocillopora_eydouxi,14.396273525502318,0.8066799846383483,-6.288502773920352
POC_Pocillopora_damicornis,14.901153142207729,0.5774657078914492,-5.780044881973198
POC_Pocillopora_verrucosa,14.694439977936364,1.3024029934580785,-6.902535304053666
CAR_Heterocyathus,18.066540461568344,-1.4067195320061654,-7.6325121960907385
FAV_Oulastrea_crispata,18.509345795449587,-1.3446510577425865,-6.834822044493691
CAR_Rhizosmilia_sagamiensis,17.49694734674348,-1.3551314616999743,-6.152445974867349
CAR_Phyllangia_papuensis,16.6883560862388,-1.730341429745525,-5.861579208066405
SID_Anomastraea_irregularis,17.73131447363432,-1.9416019157624966,-15.058646304166123
SID_Horastrea_indica,17.637011794032954,-1.5787833443904487,-13.914751899445585
SID_Coscinaraea_columna,18.482107840992295,-1.9566796581835217,-14.251065002322632
