"Species","disc_trait_ER","host_cont_trait"
"CAR_Rhizosmilia_maculata","1",23.5398555375819
"FAV_Solenastrea_bournoni","1",-1.05256378132901
"CAR_Polycyathus","1",3.39234521189913
"CAR_Paracyathus","1",1.8314212996768
"FAV_Cladocora_arbuscula","1",1.85406839865057
"FAV_Cladocora_caespitosa","2",1.45266655076339
"RHI_Astrangia","1",3.91799062333366
"FAV_Solenastrea_hyades","2",4.16287515994609
"OCU_Oculina_robusta","2",2.53659054993585
"OCU_Oculina_varicosa","1",2.05884911150418
"OCU_Oculina_diffusa","2",3.79686594385957
"OCU_Oculina_patagonica","1",2.33299646406196
"MUS_Blastomussa","1",14.2221072004864
"EUP_Physogyra_lichtensteini","2",8.91384590355216
"EUP_Plerogyra","2",11.3122457956992
"CAR_Tethocyathus","1",18.6110076175615
"FAV_Plesiastrea_versipora","2",13.4776050022494
"OCU_Cyathelia_axillaris","2",15.9952166993601
"CAR_Trochocyathus","2",16.5728269504812
"FAV_Diploastrea_heliopora","2",-4.43586324939866
"FAV_Montastraea_cavernosa","2",3.10548723423052
"MUS_Mussa_angulosa","1",14.7416973115015
"MUS_Scolymia_cubensis","1",15.7234358254485
"MUS_Isophyllia_sinuosa","1",15.8192408651471
"MUS_Mycetophyllia_danaana","2",14.4986795634898
"MUS_Mycetophyllia_aliciae","1",7.6972750747501
"MUS_Mycetophyllia_lamarckiana","1",10.9205664641994
"MUS_Mussismilia_harttii","1",16.394852705121
"MUS_Mussismilia_braziliensis","2",11.544709901745
"MUS_Mussismilia_hispida","2",13.2155964771007
"FAV_Favia_leptophylla","2",11.6076126674657
"FAV_Favia_fragum","1",12.7617774631132
"FAV_Diploria_labyrinthiformis","2",14.1729592736905
"FAV_Diploria_clivosa","1",14.5217451449475
"FAV_Diploria_strigosa","1",14.5745081167347
"FAV_Manicina_areolata","2",15.2172030219689
"FAV_Colpophyllia_natans","2",14.4802393603339
"MUS_Acanthastrea_hillae","2",4.69504266308784
"FAV_Montastraea_multipunctata","2",5.5764313206162
"MUS_Micromussa","1",7.78211107742979
"FAV_Moseleya_latistellata","2",2.10370436263414
"MUS_Acanthastrea_echinata","1",-2.67219903267623
"MUS_Acanthastrea_rotundoflora","2",-0.862016057139085
"PEC_Oxypora","2",-1.73990147281794
"PEC_Echinophyllia_echinoporoides","1",2.83056214387232
"PEC_Echinophyllia_orpheensis","2",3.62339806798686
"PEC_Echinophyllia_aspera","2",3.40942835872664
"MUS_Cynarina_lacrymalis","2",1.01029049144641
"MUS_Scolymia_vitiensis","1",3.93214277355693
"MUS_Lobophyllia_corymbosa","2",0.808840981842054
"MUS_Symphyllia_valenciennesii","1",5.16385553272238
"MUS_Symphyllia_radians","1",2.53633501300861
"MUS_Symphyllia_agaricia","1",1.48783608007106
"MUS_Symphyllia_recta","2",1.97434054311606
"MUS_Lobophyllia_pachysepta","1",5.35323483019005
"MUS_Lobophyllia_hemprichii","2",6.11913759785078
"MER_Orbicella_franksi","2",14.1728909510286
"MER_Orbicella_annularis","2",10.0957824705983
"MER_Orbicella_faveolata","1",9.94270160984422
"FAV_Cyphastrea_ocellina","2",20.8331316052598
"FAV_Cyphastrea_chalcidicum","2",13.6552542807402
"FAV_Cyphastrea_serailia","2",9.01393293140585
"FAV_Cyphastrea_microphthalma","2",15.0591151923486
"FAV_Montastraea_salebrosa","2",15.3269214432315
"FAV_Echinopora_mammiformis","2",6.50840641027654
"FAV_Echinopora_gemmacea","1",8.72576545629314
"FAV_Echinopora_pacificus","1",8.18948108680484
"FAV_Echinopora_lamellosa","2",6.65738761846894
"FAV_Echinopora_horrida","2",9.48533836050112
"EUP_Catalaphyllia_jardinei","2",-0.0991540536470288
"FAV_Plesiastrea_devantieri","2",8.24222696606196
"MER_Hydnophora_rigida","2",13.7570048024542
"MER_Hydnophora_exesa","2",6.74070248068921
"MER_Hydnophora_grandis","2",7.02556196222147
"MER_Hydnophora_microconos","2",5.65788699098197
"MER_Hydnophora_pilosa","1",6.81866802262547
"FAV_Leptoria_phrygia","1",12.2555064183913
"FAV_Platygyra_sinensis","2",6.9987423425235
"FAV_Platygyra_daedalea","1",5.72249601339415
"FAV_Platygyra_verweyi","2",4.82710959250855
"FAV_Platygyra_pini","1",7.71382824108006
"FAV_Favites_stylifera","2",4.65823723845371
"FAV_Platygyra_contorta","2",4.84614368688481
"FAV_Platygyra_lamellina","1",3.89550185924758
"FAV_Platygyra_acuta","2",4.42885650428598
"FAV_Platygyra_ryukyuensis","2",5.16413894556856
"FAV_Favites_russelli","1",2.34580552325823
"FAV_Goniastrea_australensis","1",2.02632692388104
"FAV_Goniastrea_deformis","2",0.982076590077109
"FAV_Goniastrea_aspera","1",7.88239151670918
"FAV_Favites_paraflexuosa","1",7.37073244331611
"FAV_Montastraea_magnistellata","2",11.4063903586814
"FAV_Favites_chinensis","1",8.18418116542513
"FAV_Montastraea_valenciennesi","2",5.88991610799519
"FAV_Favites_abdita","2",8.68337477129491
"FAV_Favites_complanata","2",6.8310767219392
"FAV_Favia_rotundata","2",8.19776423577752
"FAV_Montastraea_colemani","2",8.58932492718808
"FAV_Favites_flexuosa","1",8.69695654325153
"FAV_Favites_halicora","1",7.43680772330127
"FAV_Oulophyllia_bennettae","2",12.9593169371632
"FAV_Oulophyllia_crispa","1",13.111217782237
"FAV_Caulastraea_echinulata","1",12.5692466506844
"FAV_Caulastraea_tumida","2",11.5972849865946
"FAV_Caulastraea_furcata","1",12.3864156669365
"PEC_Pectinia_ayleni","2",12.8004576174117
"PEC_Pectinia_lactuca","1",11.9047608569625
"PEC_Pectinia_alcicornis","2",10.3712919619245
"PEC_Pectinia_paeonia","2",14.2579564644953
"PEC_Mycedium_robokaki","1",12.3081238737421
"PEC_Mycedium_elephantotus","1",12.3934147657263
"FAV_Favites_pentagona","2",8.80321607435985
"FAV_Montastraea_curta","2",9.88544312504064
"FAV_Favia_stelligera","2",18.9344513812322
"FAV_Goniastrea_retiformis","2",19.9520056585419
"FAV_Leptoria_irregularis","1",11.2298600365767
"MER_Scapophyllia_cylindrica","2",12.8040551265246
"FAV_Goniastrea_edwardsi","2",12.6513814346028
"FAV_Goniastrea_favulus","1",9.77716600099695
"FAV_Goniastrea_pectinata","2",11.6894865926487
"MER_Merulina_scabricula","2",8.18795288612817
"MER_Merulina_ampliata","2",7.07947405810124
"FAV_Favia_maritima","1",13.2457666049486
"FAV_Favia_truncatus","1",16.9551177911166
"FAV_Favia_rosaria","1",20.4266616206945
"FAV_Favia_maxima","2",18.5837254878571
"FAV_Barabattoia","1",15.6972357675434
"FAV_Favia_favus","1",15.2462884374221
"FAV_Montastraea_annuligera","1",14.8797883698992
"FAV_Favia_laxa","2",14.4854789227968
"FAV_Favia_danae","2",18.9687466428005
"FAV_Favia_pallida","2",18.6212918450247
"FAV_Favia_matthaii","1",18.0480926040368
"FAV_Favia_lizardensis","2",14.9855506176599
"FAV_Favia_speciosa","1",15.8901871261101
"FAV_Goniastrea_palauensis","2",11.571192318175
"TRC_Trachyphyllia_geoffroyi","2",15.0213166404129
"FAV_Favia_rotumana","1",5.58517739655984
"GUY_Guynia_annulata","2",15.9840903843182
"FUA_Fungiacyathus_pusillus","1",26.4847769375092
"FUA_Fungiacyathus_marenzelleri","2",28.0399122619853
"FUA_Fungiacyathus_turbinolioides","2",15.0340324784499
"FUA_Fungiacyathus_fragilis","1",9.01774929432919
"FUA_Fungiacyathus_stephanus","2",10.6559332958835
"CAR_Deltocyathus_magnificus","1",28.8354348896657
"TUR_Tropidocyathus_lessoni","1",29.8275702274872
"TUR_Cyathotrochus","2",29.4314078348972
"CAR_Trochocyathus_rhombocolumna","2",29.0878842489791
"TUR_Tropidocyathus_labidus","1",28.2399086640116
"TUR_Notocyathus","1",31.301201798143
"FLA_Javania_insignis","1",22.6622077979376
"FLA_Placotrochides","1",21.7689354106439
"FLA_Javania_fusca","2",3.65451429284344
"FLA_Placotrochus_laevis","2",-0.128374784449116
"FLA_Rhizotrochus","2",5.97886584311172
"FLA_Truncatoflabellum_spheniscus","1",6.5359010514586
"FLA_Truncatoflabellum_australiensis","1",8.24311582043913
"FLA_Truncatoflabellum_candeanum","2",8.48777585211744
"FLA_Flabellum_apertum","2",15.7688359627875
"FLA_Flabellum_angulare","1",8.17156955321908
"FLA_Flabellum_lowekeyesi","1",9.15033639120022
"FLA_Javania_lamprotichum","2",13.2387601476403
"FLA_Flabellum_impensum","2",15.7782151116831
"FLA_Flabellum_deludens","1",12.2897246741778
"FLA_Flabellum_japonicum","1",15.272168089538
"FLA_Flabellum_tuthilli","1",13.3311319603415
"FLA_Truncatoflabellum_macroeschara","2",7.02428447343242
"FLA_Javania_exserta","1",18.5661915016751
"FLA_Flabellum_magnificum","1",17.5151626872821
"FLA_Flabellum_arcuatile","1",19.1651707968063
"FLA_Flabellum_pavoninum","2",19.4486442852923
"FLA_Truncatoflabellum_formosum","1",19.6266473292633
"FLA_Monomyces","2",15.6919315622533
"FLA_Flabellum_folkesoni","2",19.352888962081
"FLA_Flabellum_lamellulosum","2",24.4689769019994
"FLA_Flabellum_vaughani","1",25.0422197059274
"DEN_Heteropsammia","1",-6.91516816867973
"DEN_Balanophyllia_desmophyllioides","2",4.35573665325204
"DEN_Endopachys","1",9.56426074102429
"DEN_Balanophyllia_gigas","1",7.50820327906881
"DEN_Balanophyllia_dentata","1",8.42766989299721
"DEN_Balanophyllia_regia","1",13.672409717312
"DEN_Balanophyllia_cornu","2",5.7654374077944
"DEN_Balanophyllia_elegans","2",4.21094067825395
"DEN_Leptopsammia","2",11.0096889313623
"DEN_Dendrophyllia","2",7.87506671996161
"DEN_Enallopsammia","2",8.82230256842852
"DEN_Turbinaria","1",13.2408486740494
"DEN_Cladopsammia","1",7.20349742632996
"DEN_Tubastraea","1",9.64073887311429
"POR_Goniopora_columna","2",23.2095300292497
"POR_Goniopora_stokesi","2",25.5072480028284
"POR_Porites_colonensis","2",15.6626604238179
"POR_Porites_panamensis","1",13.6667225684129
"POR_Porites_porites","2",8.82077305670076
"POR_Porites_branneri","2",13.1154137650967
"POR_Porites_divaricata","1",10.6164318656125
"POR_Porites_furcata","1",12.7741864511402
"POR_Porites_astreoides","2",15.9122578871726
"POR_Porites_annae","2",8.26610429313465
"POR_Porites_evermanni","1",11.5281587720564
"POR_Porites_compressa","1",3.81855680691885
"POR_Porites_duerdeni","2",6.37944137857802
"POR_Porites_lobata","1",5.38427691390168
"POR_Porites_rus","2",6.64516680281538
"POR_Porites_lichen","1",7.14512690364812
"POR_Porites_randalli","1",6.55767537991352
"POR_Porites_cylindrica","2",9.29333566911364
"POR_Porites_solida","2",6.6794535287912
"POR_Porites_lutea","2",8.83858200718738
"POR_Porites_okinawensis","2",8.02374251986287
"AST_Stephanocoenia_intersepta","1",12.3721521723768
"CAR_Hoplangia_durotrix","2",7.74116184812098
"SID_Pseudosiderastrea_formosa","1",-11.2852853364675
"SID_Pseudosiderastrea_tayami","1",-10.0745102181047
"SID_Siderastrea_savignyana","2",-16.9180902080383
"SID_Siderastrea_siderea","2",-8.4123216890678
"SID_Siderastrea_radians","2",-8.31748400578137
"SID_Siderastrea_glynni","1",-6.49749287102559
"SID_Siderastrea_stellata","2",-6.80436156347959
"AGA_Helioseris_cucullata","1",27.823066969054
"CAR_Thalamophyllia_gasti","1",26.4830133892141
"CAR_Thalamophyllia_riisei","2",28.4789296180336
"CAR_Dactylotrochus_cervicornis","1",16.6729332413401
"AGA_Agaricia_humilis","2",15.9264034133572
"AGA_Agaricia_agaricites","1",11.7992698884107
"AGA_Agaricia_tenuifolia","1",11.1104871991027
"AGA_Agaricia_fragilis","2",11.4485726828543
"AGA_Agaricia_lamarcki","2",13.6211284759026
"AGA_Agaricia_grahamae","2",14.0079115700019
"AGA_Agaricia_undata","2",12.7524300072237
"AGA_Leptoseris","2",17.6517679144426
"AGA_Gardineroseris_planulata","2",14.9310435921274
"AGA_Pavona_varians","2",22.0614747030833
"AGA_Pavona_clavus","2",15.5175781850922
"AGA_Pavona_cactus","1",15.7201358459037
"AGA_Pavona_frondifera","2",18.2227275128459
"AGA_Pachyseris","2",18.1593629051194
"EUP_Euphyllia_ancora","1",17.0868578348418
"EUP_Euphyllia_divisa","1",15.1201064946116
"MEA_Ctenella_chagius","2",11.8097768816215
"EUP_Euphyllia_glabrescens","2",15.1596159696586
"OCU_Galaxea_fascicularis","1",14.5016516707036
"OCU_Galaxea_horrescens","1",15.024762976434
"OCU_Galaxea_astreata","2",14.0788428882747
"POR_Alveopora","1",25.8698893443398
"ACR_Astreopora","1",20.163058051169
"ACR_Montipora_digitata","2",8.07912650819327
"ACR_Montipora_mollis","2",2.9804521381272
"ACR_Montipora_spongodes","2",4.14897286226083
"ACR_Montipora_hoffmeisteri","2",3.83912018395738
"ACR_Montipora_circumvallata","1",8.63898333788267
"ACR_Montipora_incrassata","2",10.7391830514805
"ACR_Montipora_florida","2",14.3218862740059
"ACR_Anacropora_forbesi","2",18.1213086178805
"ACR_Montipora_cactus","1",14.4745201731018
"ACR_Montipora_aequituberculata","1",13.787982198834
"ACR_Montipora_stellata","2",14.5444256570689
"ACR_Montipora_altasepta","1",8.0582845350079
"ACR_Montipora_efflorescens","1",14.6918000725226
"ACR_Montipora_delicatula","1",15.3401591398865
"ACR_Montipora_peltiformis","2",21.6295075527076
"ACR_Montipora_foliosa","1",15.7477825745899
"ACR_Montipora_hispida","1",18.2979139315407
"ACR_Montipora_patula","2",14.8266118206879
"ACR_Montipora_verrilli","2",14.9782234292502
"ACR_Montipora_capricornis","2",14.555073766606
"ACR_Montipora_confusa","2",7.75717975085648
"ACR_Montipora_gaimardi","2",4.03941417765925
"ACR_Montipora_undata","1",5.41541204827034
"ACR_Montipora_angulata","2",5.12069586433179
"ACR_Montipora_danae","2",7.1173616035372
"ACR_Montipora_capitata","1",9.31571151571697
"ACR_Montipora_verrucosa","1",11.7429167732099
"ACR_Montipora_dilatata","1",7.5676325991317
"ACR_Montipora_turtlensis","2",7.66775949178336
"ACR_Montipora_flabellata","1",7.77064568642967
"ACR_Montipora_turgescens","1",7.52933767634087
"ACR_Anacropora_matthai","2",7.05105055495709
"ACR_Isopora_togianensis","1",21.3713379886924
"ACR_Isopora_brueggemanni","1",23.7508804542204
"ACR_Isopora_palifera","2",27.053560400127
"ACR_Isopora_cuneata","2",19.0053444583828
"ACR_Acropora_austera","2",42.8080014697764
"ACR_Acropora_tenuis","2",26.7374400181517
"ACR_Acropora_intermedia","1",24.8102343888356
"ACR_Acropora_donei","2",31.7653772146209
"ACR_Acropora_echinata","1",19.6419751332746
"ACR_Acropora_subglabra","1",18.3975303479728
"ACR_Acropora_abrolhosensis","2",5.87778082393857
"ACR_Acropora_elseyi","2",9.38041453129253
"ACR_Acropora_cervicornis","2",20.3788459303824
"ACR_Acropora_palmata","1",21.8391145023384
"ACR_Acropora_latistella","2",19.4315238019236
"ACR_Acropora_nana","2",15.2064660010289
"ACR_Acropora_abrotanoides","1",20.8420163419248
"ACR_Acropora_robusta","2",21.7701266252292
"ACR_Acropora_kirstyae","2",15.1362799591363
"ACR_Acropora_derawanensis","1",18.3718463949601
"ACR_Acropora_florida","2",22.3055618604653
"ACR_Acropora_sarmentosa","1",21.7322511214174
"ACR_Acropora_samoensis","1",19.1059359446481
"ACR_Acropora_globiceps","2",18.2696056209383
"ACR_Acropora_humilis","2",19.5568299835565
"ACR_Acropora_gemmifera","1",20.3945725921249
"ACR_Acropora_retusa","1",24.3931540566945
"ACR_Acropora_multiacuta","1",25.5248414381368
"ACR_Acropora_digitifera","1",19.6138595134261
"ACR_Acropora_monticulosa","1",25.3866687015712
"ACR_Acropora_cytherea","1",19.1419537516466
"ACR_Acropora_indonesia","1",18.2139683285781
"ACR_Acropora_microclados","2",18.1644685878968
"ACR_Acropora_anthocercis","2",15.7021114382475
"ACR_Acropora_hyacinthus","1",18.3827664042269
"ACR_Acropora_microphthalma","2",19.5195790750762
"ACR_Acropora_spicifera","2",17.3812034802779
"ACR_Acropora_divaricata","1",24.6732807731923
"ACR_Acropora_solitaryensis","1",22.1344347504463
"ACR_Acropora_batunai","1",20.9412891904975
"ACR_Acropora_longicyathus","2",15.2175272912941
"ACR_Acropora_caroliniana","1",20.2258813213474
"ACR_Acropora_speciosa","2",15.0181776262395
"ACR_Acropora_tortuosa","1",14.9683901416147
"ACR_Acropora_acuminata","2",15.8348246592781
"ACR_Acropora_dendrum","1",15.1170327556566
"ACR_Acropora_yongei","2",14.8024242158202
"ACR_Acropora_spathulata","1",14.873421143875
"ACR_Acropora_carduus","1",12.7785255366486
"ACR_Acropora_granulosa","1",13.0107321803588
"ACR_Acropora_bushyensis","2",11.2035810395751
"ACR_Acropora_horrida","1",13.7364690137066
"ACR_Acropora_polystoma","2",11.8046181149342
"ACR_Acropora_hemprichii","1",16.8126429461696
"ACR_Acropora_millepora","1",16.5271862350562
"ACR_Acropora_selago","2",16.1810540977243
"ACR_Acropora_muricata","2",17.9724549103609
"ACR_Acropora_aspera","1",18.9635695727133
"ACR_Acropora_pulchra","2",15.3734052536192
"ACR_Acropora_grandis","1",20.0142234972186
"ACR_Acropora_listeri","2",15.8551238963975
"ACR_Acropora_cerealis","1",18.7073213732769
"ACR_Acropora_lutkeni","1",17.4903476865476
"ACR_Acropora_valida","2",22.4484689041275
"ACR_Acropora_kimbeensis","2",15.6942339184121
"ACR_Acropora_nasuta","1",14.2235131537238
"ACR_Acropora_loisetteae","1",14.5174908101187
"ACR_Acropora_vaughani","2",16.6863480611192
"ACR_Acropora_papillare","1",11.1411047469888
"ACR_Acropora_tenella","1",8.37228972597642
"ACR_Acropora_pichoni","1",10.1669636407421
"ACR_Acropora_elegans","1",9.50962634487405
"ACR_Acropora_walindii","1",17.1955423083254
"ACR_Acropora_chesterfieldensis","1",6.95761669571091
"ACR_Acropora_loripes","1",10.6988424914388
"ACR_Acropora_lokani","2",16.3659933307507
"ACR_Acropora_jacquelineae","2",12.3767637922596
"ACR_Acropora_rongelapensis","1",16.7453396097685
