"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"CAR_Vaughanella",-77.5165372083349,85.62172647311,-73.3249228165579,14.4622846299443,-2.13985759655809
"CAR_Stephanocyathus_weberianus",-56.1190964770392,81.5840793816282,-77.3658683041899,32.6221982595366,-18.7386274192239
"CAR_Stephanocyathus_platypus",-65.6265623125997,76.4675658119482,-88.8248999593283,23.5954495416178,-17.7202546366365
"CAR_Stephanocyathus_coronatus",-69.4065955985388,62.2810002822836,-90.1933442650531,28.3067689225311,-9.53484095158504
"CAR_Stephanocyathus_spiniger",-72.6464068926197,62.2888789991425,-94.1240327534846,25.8050755414209,-12.7858083745009
"CAR_Caryophyllia_versicolorata",-34.427560764166,13.6992929023496,-42.2064394327264,48.4703493780452,-17.8329258330441
"CAR_Crispatotrochus",-23.5601603622488,19.3945822421929,-47.8843202461152,50.1850651639842,-22.6254863423124
"CAR_Caryophyllia_inornata",-18.7871687774854,23.4539765669674,-52.7131866883023,57.2031839542888,-17.365943936263
"CAR_Caryophyllia_rugosa",-40.9182618606979,16.4207776655564,8.77643227762612,45.4383692389358,10.6516969887557
"CAR_Caryophyllia_lamellifera",-6.94648308347336,33.3294063109842,-7.26008958114279,42.1256623584401,-16.1032676333934
"CAR_Caryophyllia_grayi",-26.2241622017941,33.5588067624497,-8.54453500377764,46.0803862917128,-10.0618318157244
"STE_Stenocyathus_vermiformis",-14.4910403816308,28.8208499209303,6.14822254792808,47.1595822078241,-9.47793996960898
"CAR_Caryophyllia_planilamellata",-7.92357743557011,50.3587919473544,-26.6986131971553,38.6099729657356,-8.58761864140378
"CAR_Caryophyllia_quadragenaria",-2.38760347209532,60.0378015696061,-18.4061049698251,30.6649203038341,-28.0546699407706
"CAR_Caryophyllia_ambrosia",3.40233928157395,44.3078076640825,-9.57704917280351,37.6444294306653,-23.3622380910695
"CAR_Caryophyllia_atlantica",6.92362935806032,46.3991955970836,-10.0227843214923,38.3807397711484,-23.7247968426903
"CAR_Dasmosmilia_lymani",16.8734660902806,43.527776432277,-20.2242638410705,58.7206715364546,-25.9175582692854
"CAR_Caryophyllia_scobinosa",12.0736205952946,38.4496480174137,-11.9991829571851,45.0132120170037,-24.104382957364
"CAR_Caryophyllia_unicristata",24.6617764718675,45.6714583035937,-9.58286219894936,58.6901403366295,-27.0802784975128
"CAR_Caryophyllia_grandis",18.2322260478228,51.4903612779919,-12.0805364031759,61.0566203599151,-27.1387612142903
"CAR_Caryophyllia_transversalis",25.821959776685,51.0040100116533,-9.12666730934236,61.384805590686,-26.8675502157735
"CAR_Lophelia_pertusa",-43.2172090324576,32.4578785342284,5.0309812858793,32.8036564329536,17.0220072653878
"CAR_Solenosmilia_variabilis",-43.5747053473894,37.7463273869292,-31.4109970960141,37.7443112587697,-10.8692711546649
"CAR_Caryophyllia_diomedeae",-38.7841206597611,36.126334997948,-42.2341538702167,37.094209346545,-13.8102666171932
"CAR_Desmophyllum",-34.9598125320006,31.8935935072761,-28.5531610498557,35.6471175323999,-15.4169218077027
"CAR_Caryophyllia_ralphae",-100.3906309204,25.8577861792911,-46.2717460916659,-3.21001386631064,22.2650935878196
"CAR_Rhizosmilia_robusta",-86.6700719321516,35.9106321078971,-37.2512495663849,22.7350265459206,18.9935071743146
"OCU_Madrepora",-89.0061887304699,14.5799512807681,-43.3263763487559,9.72465727455832,27.1439491245371
"AST_Stylocoeniella",-47.2649405780183,103.500510658578,-8.47104281121662,3.47248796201264,29.6531617558801
"AST_Madracis_senaria",-42.4735317359231,85.0025920017215,-50.7663462118865,5.63424969284189,13.7669001962341
"AST_Madracis_formosa",-43.282125089056,92.9840856377603,-88.0451416095644,1.79277280647512,-8.44112030682678
"AST_Madracis_carmabi",-36.3186847706964,93.6297823957585,-68.1262401792328,10.2272658867919,-6.6387757164144
"AST_Madracis_auretenra",-24.326881581143,80.6051825314167,-62.2696520252133,18.5966503657777,-4.66838376486427
"AST_Madracis_asanoi",-33.2098124181462,82.5885487679082,-65.3571163588688,16.6662825906006,-2.59245394139576
"AST_Madracis_pharensis",-28.8766872973424,85.8132712372221,-76.9045930583573,14.1513908265129,-10.903501683539
"AST_Madracis_decactis",-31.3036778941923,86.7111562703792,-70.6279378187155,10.2474618987281,-8.35389895544917
"POC_Stylophora",-25.7031097292541,86.0158869819852,-50.8550088282959,28.6451472697633,18.2401922139941
"POC_Seriatopora_caliendrum",-29.4426086333948,80.4291604834979,-37.7302524710741,34.1047560068365,16.6738061590879
"POC_Seriatopora_hystrix",-31.9415697418648,89.3386598879827,-41.1386997554659,33.4387061496662,11.4526862974089
"POC_Pocillopora_meandrina",-57.4029494798979,74.0341006848725,-31.7625320937637,5.63680528648469,33.0662548522243
"POC_Pocillopora_eydouxi",-56.0464044065095,69.1640217139461,-34.6374598136765,15.0738206693163,32.483573311901
"POC_Pocillopora_damicornis",-60.1711068088491,69.5589094844256,-27.9618353723469,7.93830382574107,38.4958902996935
"POC_Pocillopora_verrucosa",-59.2103831973018,70.2717761165637,-38.9693399068153,12.8113089300484,30.200936874388
"CAR_Heterocyathus",3.52831498747363,49.2808498908958,-29.1725998575526,-6.88400538439305,-3.90927784552695
"FAV_Oulastrea_crispata",-2.58279934297682,50.1474866373671,-26.7878889343041,-10.4508630797541,-1.77711736418664
"CAR_Rhizosmilia_sagamiensis",-28.2487750427462,42.1635924263828,-1.8289916904872,-12.4133781352113,17.0936898052588
"CAR_Phyllangia_papuensis",-27.604958310214,37.3196366919514,-17.4610758305075,-9.88810470895883,4.4770775989138
"SID_Anomastraea_irregularis",-42.7109519334308,73.5351022322095,-7.05966676020025,-19.1573804298426,16.1069557674574
"SID_Horastrea_indica",-52.4275094117476,69.1626622832322,14.4478408256826,-41.0919967223151,31.6235263672179
"SID_Coscinaraea_columna",-35.9707547780965,101.33795679439,-38.8536325096048,-9.9286852273923,-15.1426490258415
"SID_Psammocora_contigua",-79.1296433696699,99.0651347189923,-31.2035732029235,-41.2255376132005,20.7407486812261
"SID_Psammocora_nierstraszi",-82.8496582304295,104.092763684413,-34.8596874323909,-40.2222155768521,15.8052009757148
"SID_Psammocora_profundacella",-77.1526603209549,100.145596569884,-31.7311478888119,-35.3322200255156,18.486095713159
"SID_Psammocora_digitata",-81.6260893190629,94.3287454472427,-45.645810160358,-38.3152874611189,12.5083385578505
"SID_Psammocora_albopicta",-74.5289247808921,92.9356372498444,-39.7755350986211,-35.1027151318097,7.80402870860958
"SID_Psammocora_haimeana",-72.2718625567735,94.2397847072976,-39.7405869795234,-35.4841446087658,5.81271924103694
"FUN_Pleuractis_gravis",-99.6178740312464,59.7120930300507,7.13160575696674,-47.2220030442285,35.7686127710967
"SID_Coscinaraea_wellsi",-84.2139729432,63.4772314769136,-8.32459193763128,-31.4166681789998,23.7107392706929
"SID_Psammocora_explanulata",-87.9233861686296,62.892890923184,-9.19629522718654,-35.1576847124805,25.5125278232283
"FUN_Pleuractis_paumotensis",-95.0095985795683,53.3740215634443,-5.21849378493911,-31.2328985698597,37.0327845722686
"FUN_Pleuractis_granulosa",-86.5825810078201,53.3442374366887,1.28872145813077,-20.1838918844642,37.4467013328441
"FUN_Pleuractis_moluccensis",-90.0275697588274,51.8392907036936,3.42754572187252,-20.0273576772784,39.146744357671
